,Method,Epitope,Experiment,Baseline,Metric,Value
164,CloneModel,YLQ,third,kocher,F1-Score,0.8888888888888888
165,CloneModel,YLQ,third,kocher,Accuracy,0.9981834695731153
166,CloneModel,YLQ,third,kocher,Precision,0.8
167,CloneModel,YLQ,third,kocher,Recall,1.0
168,CloneModel,LTD,third,kocher2,F1-Score,0.8745519713261649
169,CloneModel,LTD,third,kocher2,Accuracy,0.919908466819222
170,CloneModel,LTD,third,kocher2,Precision,1.0
171,CloneModel,LTD,third,kocher2,Recall,0.7770700636942676
172,CloneModel,YLQ,third,kocher2,F1-Score,0.9411764705882353
173,CloneModel,YLQ,third,kocher2,Accuracy,0.9885057471264368
174,CloneModel,YLQ,third,kocher2,Precision,0.8888888888888888
175,CloneModel,YLQ,third,kocher2,Recall,1.0
176,CloneModel,LTD,third,vdjdb,F1-Score,0.9411764705882353
177,CloneModel,LTD,third,vdjdb,Accuracy,0.9969278033794163
178,CloneModel,LTD,third,vdjdb,Precision,1.0
179,CloneModel,LTD,third,vdjdb,Recall,0.8888888888888888
180,CloneModel,YLQ,third,vdjdb,F1-Score,1.0
181,CloneModel,YLQ,third,vdjdb,Accuracy,1.0
182,CloneModel,YLQ,third,vdjdb,Precision,1.0
183,CloneModel,YLQ,third,vdjdb,Recall,1.0
184,CloneModel,LTD,third,paper,F1-Score,0.8683274021352313
185,CloneModel,LTD,third,paper,Accuracy,0.9639024390243902
186,CloneModel,LTD,third,paper,Precision,1.0
187,CloneModel,LTD,third,paper,Recall,0.7672955974842768
188,CloneModel,YLQ,third,paper,F1-Score,0.9411764705882353
189,CloneModel,YLQ,third,paper,Accuracy,0.9925925925925926
190,CloneModel,YLQ,third,paper,Precision,0.8888888888888888
191,CloneModel,YLQ,third,paper,Recall,1.0
